date,venue,city,country,info,ticket-url,ticket-url2,
2004-02-28,Auditori les Basses,Barcelona,Spain,,,,
2004-03-01,Colegio Mayor Luis Vives,Valencia,Spain,,,,
2004-03-02,Sala Ricoamor,Castellon,Spain,,,,
2004-03-03,Cafe de Poniente,Puerto Real (Cadiz),Spain,,,,
2004-03-04,Universidad de Huelva,Huelva,Spain,,,,
2004-03-05,Planta Baja,Granada,Spain,,,,
2004-03-06,Playa Club,A Coruna,Spain,w/ Camera Obscura,,,
2004-03-24,City Hall,Sheffield,UK,w/ Lambchop,,,
2004-03-25,Lowry,Salford,UK,w/ Lambchop,,,
2004-04-17,Swan Theatre,High Wycombe,UK,w/ Lambchop,,,
2004-04-18,Warwick Arts Centre,Coventry,UK,w/ Lambchop,,,
2004-04-19,Pavilion,Bath,UK,w/ Lambchop,,,
2004-04-20,Islington Bar Academy,London,UK,w/ Rothko and Chinese Burn,,,
2004-04-22,Festival,Seville,Spain,w/ Calexico and others&nbsp;,,,
2004-07-31,Knitting Factory,New York,US,,,,
2004-08-01,Merge Records 15th Birthday Festival,North Carolina,US,w/ Lambchop and David Kilgour,,,
2004-08-27,Pink Flag,Malmo,Sweden,,,,
2004-08-28,Punk @ Lilla Mondo,Stockholm,Sweden,,,,
2004-08-29,Pusterviksbaren,Gothenburg,Sweden,,,,
2004-09-11,Festival,Aarhus,Denmark,,,,
2004-10-03,The Troubadour Club,"Earls Court, London",UK,w/ Arco,,,
2005-05-09,La Colegiata,Gijon,Spain,w/ Matt Elliot,,,
2005-05-27,The Water Rats,London,UK,w/ Flotation Toy Warning + Unkle Bob,,,
2005-06-01,Variety Playhouse,"Atlanta, GA",US,w/ Spoon,,,
2005-06-02,Cats Cradle,"Carrboro, NC",US,w/ Spoon,,,
2005-06-03,930 Club,"Washington, DC",US,w/ Spoon,,,
2005-06-04,Theatre Of living Arts,"Philadelphia, PA",US,w/ Spoon,,,
2005-06-05,Lee's Palace,"Toronto, ON",Canada,w/ Spoon,,,
2005-06-07,Paradise Rock Club,"Boston, MA",US,w/ Spoon,,,
2005-06-08,Webster Hall,"New York, NY",US,w/ Spoon,,,
2005-06-09,Webster Hall,"New York, NY",US,w/ Spoon,,,
2005-06-10,Beachland Ballroom,"Cleveland, OH",US,w/ Spoon,,,
2005-06-11,Vic Theatre,"Chicago, IL",US,w/ Spoon,,,
2005-06-12,First Avenue,"Minneapolis, MN",US,w/ Spoon,,,
2005-06-13,Granada,"Lawrence, KS",US,w/ Spoon,,,
2005-06-14,Gothic Theater,"Denver, CO",US,w/ Spoon,,,
2005-06-16,Crystal Ballroom,"Portland, OR",US,w/ Spoon,,,
2005-06-17,Commodore Ballroom,"Vancouver, BC",Canada,w/ Spoon,,,
2005-06-18,The Showbox,"Seattle, WA",US,w/ Spoon,,,
2005-06-19,The Fillmore,"San Francisco, CA",US,w/ Spoon,,,
2005-06-20,The Fillmore,"San Francisco, CA",US,w/ Spoon,,,
2005-06-21,Avalon Hollywood,"Los Angeles, CA",US,w/ Spoon,,,
2005-06-22,Rialto Theatre,"Tucson, AZ",US,w/ Spoon,,,
2005-06-24,Gypsy Ballroom,"Dallas, TX",US,"w/ Spoon, Sally Crew and the Sudden Moves",,,
2005-06-25,Stubbs,"Austin, TX",US,"w/ Spoon, Sally Crewe and the Sudden Moves",,,
2005-07-21,The Borderline,London,England,"w/ Mistys Big Adventure, Field Music, Kubb",,,
2005-08-31,Bush Hall,London,England,Album launch show w/ Pipas,,,
2005-09-07,Heavenly Social,London,England,,,,
2005-09-09,Edinburgh Caledonian Backpackers,Edinburgh,Scotland,"w/ St Judes Infirmary, Lee Paterson",,,
2005-09-10,Glasgow Woodside Social @ Winchester Club,Glasgow,Scotland,w/ Mitford Girls,,,
2005-09-11,Side Cinema,Newcastle,England,,,,
2005-09-13,Sussex Arts Centre,Brighton,England,w/ Threeswheeler and Peter &amp; The Pirates,,,
2005-09-15,Poprevo Festival at Musikcaféen,Århus,Denmark,"w/ Louis Philippe, Television Personalities and Jens Lekman",,,
2005-09-29,Debaser,Stockholm,Sweden,,,,
2005-09-30,Sticky Fingers,Gothenburg,Sweden,,,,
2005-10-01,Garage,Oslo,Norway,,,,
2005-10-02,Merjeriet,Lund,Sweden,,,,
2005-10-03,Loppen,Copenhagen,Denmark,,,,
2005-10-04,Upstairs At Paradiso,Amsterdam,Netherlands,,,,
2005-10-06,"Le Grand Mix, Tourcoing",Lille,France,w/ Electrelane,,,
2006-04-29,Small Music Theatre,Athens,Greece,a Sprinkled Pepper event,,,
2006-06-03,Prinzenbar,Hamburg,Germany,a Three Cheers For Our Side event w/ Jens Lekman and Emily Parker,,,
2007-01-06,St Giles-in-the-Fields Church,London,UK,"Sodastream, Shady Bard",,,
2007-03-21,The 100 Club,London,UK,with People Revolutionary Choir,,,
2007-03-24,Chokoladefabriken,Arhhus,Denmark,Other Artists TBC,,,
2007-03-30,Tapestry,London,UK,Other Artists TBC,,,
2007-04-18,Siroco,Madrid,Spain,,,,
2007-05-06,Maxwells,"Hoboken, NJ",US,w/ Ladybug Transistor,,,
2007-05-07,Johnny Brenda's,"Philadelphia, PA",US,,,,
2007-05-08,Black Cat,"Washington, DC",US,,,,
2007-05-09,Satellite Ballroom,"Charlottesville, VA",US,,,,
2007-05-10,Cats Cradle,"Carrboro, NC",US,,,,
2007-05-11,Map Room,"Charleston, SC",US,,,,
2007-05-12,The Earl,"Atlanta, GA",US,w/ Beach House,,,
2007-05-13,The Basement,"Nashville, TN",US,w/ Beach House,,,
2007-05-14,Hi Tone,"Memphis, TN",US,w/ Beach House,,,
2007-05-16,Spanish Moon,"Baton Rouge, LA",US,w/ Beach House,,,
2007-05-17,Walter's on Washington,"Houston, TX",US,w/ Beach House,,,
2007-05-18,Hailey's,"Denton, TX",US,w/ Beach House,,,
2007-05-19,Emo's Lounge,"Austin, TX",US,w/ Beach House,,,
2007-05-21,Modified,"Tempe, AZ",US,w/ Beach House,,,
2007-05-22,Casbah,"San Diego, CA",US,w/ Beach House,,,
2007-05-24,Knitting Factory,"Los Angeles, CA",US,"w/ Beach House, <a href=""https://pipasforthepeople.com"">Pipas</a>",,,
2007-05-25,Howie & Son's Pizza & Beer Parlor,"Visalia, CA",US,w/ Beach House,,,
2007-05-26,Great American Music Hall,"San Francisco, CA",US,w/ Beach House,,,
2007-05-27,Doug Fir,"Portland, OR",US,w/ Beach House,,,
2007-05-28,Crocodile Cafe,"Seattle, WA",US,w/ Beach House,,,
2007-05-31,400 Bar,"Minneapolis, MN",US,w/ Beach House,,,
2007-06-01,High Noon,"Madison, WI",US,w/ Beach House,,,
2007-06-02,Subterranean,"Chicago, IL",US,w/ Beach House,,,
2007-06-03,Magic Stick,"Detroit, MI",US,w/ Beach House,,,
2007-06-04,El Mocambo,"Toronto, ON",Canada,w/ Beach House,,,
2007-06-06,Club Lambi,"Montreal, QC",Canada,w/ Beach House,,,
2007-06-08,Bowery Ballroom,"New York, NY",US,"w/ Beach House, <a href=""https://pipasforthepeople.com"">Pipas</a>",,,
2007-06-09,Museum of Fine Arts,"Boston, MA",US,w/ Beach House,,,
2007-06-20,The Legion,London,UK,An exciting show with Dean and Britta and the Flowers of Hell. Clientele on in the middle.,,,
2007-07-03,Debaser,Malmo,Sweden,90 swedish crowns!,,,
2007-07-04,Debaser,Stockholm,Sweden,100 Swedish crowns!,,,
2007-07-05,to be announced,Oslo,Norway,,,,
2007-07-06,Egersund Folkfestival,Egersund,Norway,,,,
2007-07-21,Benecassim Festival,Valencia-ish,Spain,,,,
2007-07-26,East Brunwick Club,Melbourne,Australia,,,,
2007-07-27,Spectrum,Sydney,Australia,,,,
2007-07-28,Troubador,Brisbane,Australia,,,,
2007-07-30,Kings Arms Tavern,Auckland,New Zealand,Support is from Robert Scott (The Clean/The Bats),,,
2007-07-31,San Francisco Bathhouse,Wellington,New Zealand,Support is from Robert Scott (The Clean/The Bats),,,
2007-09-06,Roseland,NYC,US,Supporting Peter Bjorn and John.,,,
2007-09-07,Avalon,"Boston, MA",US,,,,
2007-09-08,Osheaga Music and Arts Festival,Montreal,Canada,,,,
2007-09-09,Virgin Festival,Toronto,Canada,,,,
2007-09-11,Cat's Cradle,"Carborro, NC",US,,,,
2007-09-12,Variety Playhouse,"Atlanta, GA",US,,,,
2007-09-14,Emo's,"Austin, TX",US,,,,
2007-09-16,Marquee Theater,"Phoenix, AZ",US,,,,
2007-09-17,Wiltern ,"Los Angeles, CA",US,,,,
2007-09-18,Warfield,"San Francisco, CA",US,,,,
2007-09-19,Crystal Ballroom,"Portland, OR",US,,,,
2007-09-20,Showbox,"Seattle, WA",US,,,,
